prompt_id,case_id,mode,detail,fields,brauchbarkeit,kontextnutzen,fokustreue,ablenkung,kontextkosten,notiz
P10,CASE_1,off,standard,all,1,5,3,5,5,Allgemeine Wissensfrage – Kontext unnötig; OFF optimal.
P10,CASE_2,neutral,standard,all,1,3,3,4,3,Kontext unnötig – Projekt/Chat/Topic irrelevant für DI; leichte Ablenkung.
P10,CASE_3,semantic,full,all,1,2,3,2,2,Kontext + Instruktion lenkt ab – DI ist allgemein; Übersteuerung.
P10,CASE_4,semantic,minimal,project_only,1,3,3,4,4,Kontext unnötig; minimal weniger störend.
P10,CASE_5,semantic,standard,project_chat,1,3,3,3,3,Kontext unnötig; mittlere Ablenkung.
P10,CASE_6,neutral,minimal,project_only,1,3,3,4,4,Minimal; weniger störend als full.
P11,CASE_1,off,standard,all,1,5,3,5,5,Allgemeine Frage – Kontext unnötig; OFF optimal.
P11,CASE_2,neutral,standard,all,1,3,3,4,3,Enum-Definition kontextfrei; Kontext irrelevant.
P11,CASE_3,semantic,full,all,1,2,3,2,2,Instruktion verleitet zu Kontextbezug – Enum ist allgemein; ablenkend.
P11,CASE_4,semantic,minimal,project_only,1,3,3,4,4,Unnötig aber knapp; weniger Ablenkung.
P11,CASE_5,semantic,standard,project_chat,1,3,3,3,3,Mittlere Ablenkung.
P11,CASE_6,neutral,minimal,project_only,1,3,3,4,4,Minimal; akzeptabel.
P12,CASE_1,off,standard,all,1,5,3,5,5,Allgemeine Frage – Kontext unnötig; OFF optimal.
P12,CASE_2,neutral,standard,all,1,3,3,4,3,Smoke-Test kontextfrei; Kontext irrelevant.
P12,CASE_3,semantic,full,all,1,2,3,2,2,Instruktion verleitet zu Kontextbezug – ablenkend.
P12,CASE_4,semantic,minimal,project_only,1,3,3,4,4,Unnötig; knapp weniger störend.
P12,CASE_5,semantic,standard,project_chat,1,3,3,3,3,Mittlere Ablenkung.
P12,CASE_6,neutral,minimal,project_only,1,3,3,4,4,Minimal; akzeptabel.
